HouseId,SqFt,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
HOUSE-0001,2248,2.0,2.0,Suburban,1982,359217.63502399635
HOUSE-0002,1930,2.0,1.5,Suburban,1979,337225.57023939944
HOUSE-0003,2323,3.0,2.5,Urban,1982,436016.0508971181
HOUSE-0004,2761,4.0,1.0,Rural,1975,444627.49997672316
HOUSE-0005,1882,5.0,1.5,Suburban,1971,401513.27136470994
HOUSE-0006,1882,3.0,2.0,Suburban,2015,395835.2111872671
HOUSE-0007,2789,2.0,2.0,Urban,1987,489458.5496774012
HOUSE-0008,2383,3.0,1.5,Suburban,1995,429275.78499998245
HOUSE-0009,1765,2.0,1.0,Suburban,1964,305418.9362248165
HOUSE-0010,2271,4.0,2.0,Urban,1993,455170.1418525159
HOUSE-0011,1768,4.0,1.5,Rural,1998,350035.68191522773
HOUSE-0012,1767,3.0,2.0,Urban,2010,392539.7924284527
HOUSE-0013,2120,3.0,1.0,,2016,402077.651947936
HOUSE-0014,1043,3.0,2.0,Suburban,1955,236659.13950369743
HOUSE-0015,1137,2.0,2.0,Urban,1958,264973.93800706946
HOUSE-0016,1718,4.0,1.0,Suburban,1955,314503.2117524757
HOUSE-0017,1493,3.0,1.5,Rural,2022,308984.76468643843
HOUSE-0018,2157,4.0,1.0,Suburban,1981,418316.75850311364
HOUSE-0019,1545,2.0,1.0,Rural,1990,248169.17265618313
HOUSE-0020,1293,4.0,3.0,Suburban,1957,273332.31807371054
HOUSE-0021,2732,2.0,1.5,Suburban,2021,472636.85749446956
HOUSE-0022,1887,1.0,2.5,Rural,1999,309285.6826446975
HOUSE-0023,2033,4.0,1.5,Urban,2011,450422.93360557756
HOUSE-0024,1287,1.0,2.0,Suburban,2011,271282.2738015451
HOUSE-0025,1727,2.0,2.5,Urban,1956,320474.9139265503
HOUSE-0026,2055,5.0,2.0,,1953,392862.7390627268
HOUSE-0027,1424,5.0,2.0,Rural,1955,311276.02879919816
HOUSE-0028,2187,3.0,2.0,Urban,2007,446670.54440788564
HOUSE-0029,1699,3.0,1.5,Suburban,1971,286671.46615177946
HOUSE-0030,1854,3.0,3.0,Rural,1975,340266.51238130155
HOUSE-0031,1699,2.0,2.5,Urban,1952,326516.43198602105
HOUSE-0032,2926,2.0,3.0,Suburban,1990,487846.2505219922
HOUSE-0033,1993,3.0,1.0,Rural,2009,342196.65162647114
HOUSE-0034,1471,3.0,2.5,Urban,1963,342337.97811759665
HOUSE-0035,2411,3.0,3.0,Suburban,1961,441780.5092220229
HOUSE-0036,1389,3.0,1.0,Urban,1961,257432.59308761207
HOUSE-0037,2104,1.0,1.0,Rural,1962,275110.6078338783
HOUSE-0038,1020,3.0,2.5,,1974,251929.0402307142
HOUSE-0039,1335,1.0,2.0,Rural,1994,249627.62305575004
HOUSE-0040,2098,3.0,2.5,Suburban,1968,384182.7931458765
HOUSE-0041,2369,3.0,1.0,Rural,2004,382226.09299752617
HOUSE-0042,2085,4.0,2.5,Rural,1994,403543.00365961064
HOUSE-0043,1942,2.0,1.5,Suburban,1957,317969.9587167351
HOUSE-0044,1849,2.0,1.0,Rural,2002,306718.9871126756
HOUSE-0045,1260,2.0,1.0,Urban,2004,288992.62349893886
HOUSE-0046,1640,3.0,2.5,Suburban,1981,347714.62661257724
HOUSE-0047,1769,3.0,2.0,Urban,2000,377651.75597489317
HOUSE-0048,2528,2.0,2.0,Urban,1993,458064.1973897083
HOUSE-0049,2171,1.0,1.5,Urban,2019,397123.9654738939
HOUSE-0050,1118,3.0,2.5,Suburban,1967,249254.75120373187
HOUSE-0051,2162,1.0,1.5,Suburban,1971,338188.3554145683
HOUSE-0052,1807,4.0,2.5,Suburban,1986,367911.79895282176
HOUSE-0053,1661,3.0,2.0,Urban,2005,373934.80184663914
HOUSE-0054,2305,1.0,1.5,Suburban,2008,397942.108938472
HOUSE-0055,2515,1.0,2.0,Suburban,1952,357295.5649099683
HOUSE-0056,2465,5.0,1.5,Suburban,1977,465364.1010870666
HOUSE-0057,1580,2.0,2.5,Suburban,2023,333064.4381247019
HOUSE-0058,1845,2.0,2.0,Suburban,1984,341625.5083987482
HOUSE-0059,2165,4.0,1.5,Rural,2010,413203.06363030727
HOUSE-0060,2487,4.0,2.5,Suburban,2003,446397.3038883494
HOUSE-0061,1760,5.0,1.5,Urban,2012,406582.86259692983
HOUSE-0062,1907,3.0,2.0,Urban,1956,358105.30832335114
HOUSE-0063,1446,2.0,3.0,Rural,1998,291645.60733772424
HOUSE-0064,1401,1.0,2.0,Urban,1980,279624.25005962513
HOUSE-0065,2406,3.0,1.0,Rural,2007,398631.7882702862
HOUSE-0066,2678,3.0,3.0,Suburban,2010,525004.7678802689
HOUSE-0067,1963,3.0,2.0,Rural,1973,315773.1408172616
HOUSE-0068,2501,4.0,1.5,Suburban,1969,454852.27524544153
HOUSE-0069,2180,2.0,1.0,,1986,355150.32809268375
HOUSE-0070,1677,3.0,2.5,Suburban,1953,329382.121887481
HOUSE-0071,2180,1.0,2.0,Suburban,1969,378734.198336184
HOUSE-0072,2769,3.0,2.0,Suburban,2009,499810.1703552814
HOUSE-0073,1982,1.0,2.5,Suburban,1973,339327.43564685
HOUSE-0074,2782,2.0,2.5,Suburban,1999,494526.8350272406
HOUSE-0075,800,2.0,1.0,Rural,1998,196271.97966889787
HOUSE-0076,2410,3.0,1.5,,2000,414709.08885757846
HOUSE-0077,2043,3.0,1.5,Suburban,1985,380077.87113680784
HOUSE-0078,1850,3.0,2.5,Suburban,2015,365737.5639878886
HOUSE-0079,2045,5.0,1.0,Suburban,1983,398697.6991743862
HOUSE-0080,1006,2.0,2.0,Suburban,1985,243430.79451399788
HOUSE-0081,1890,2.0,2.5,Urban,1955,339268.4197082811
HOUSE-0082,2178,4.0,2.5,Urban,1988,453360.50118957885
HOUSE-0083,2738,2.0,1.5,Suburban,1991,443659.2307652044
HOUSE-0084,1740,5.0,2.5,Urban,2007,439946.25098592567
HOUSE-0085,1595,1.0,1.0,Urban,1961,268837.01466957835
HOUSE-0086,1749,5.0,2.5,Urban,1952,374877.7662834493
HOUSE-0087,2457,1.0,1.0,Urban,1967,405611.9023925989
