CustomerId,Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
CUST-0001,45,Male,8,115.13935114099883,896.0020233182844,Month-to-month,DSL,1
CUST-0002,38,Male,26,82.93978949482624,2167.014275384502,Month-to-month,DSL,0
CUST-0003,47,Female,51,53.271306995126636,2771.388961859692,Month-to-month,DSL,1
CUST-0004,58,Female,45,78.17343531579476,3512.2679177567297,Month-to-month,Fiber optic,1
CUST-0005,37,,44,105.51333612914692,4689.2307438988955,Month-to-month,DSL,0
CUST-0006,37,Male,5,104.26236588152847,564.9697568385998,Two year,No,1
CUST-0007,58,Male,70,39.90605271091573,2700.2071133486465,One year,DSL,0
CUST-0008,49,Female,26,77.75740973955808,1976.6126159267315,One year,DSL,1
CUST-0009,34,Male,68,61.04746274824503,4073.1371238108886,Month-to-month,Fiber optic,1
CUST-0010,46,Female,19,85.16483119784218,1718.2186478855083,Month-to-month,Fiber optic,0
CUST-0011,34,Female,20,74.59034884541927,1486.5373806365192,One year,DSL,0
CUST-0012,34,Male,12,15.0,269.04146064833213,Month-to-month,No,0
CUST-0013,42,Female,47,56.29967284257903,2564.437009574115,Month-to-month,No,0
CUST-0014,18,Female,1,69.96395907240729,41.325537844981,One year,DSL,1
CUST-0015,19,Male,14,29.140875821028857,447.9971735827026,One year,DSL,0
CUST-0016,33,Female,64,79.52555024664964,5098.598946006911,Month-to-month,No,1
CUST-0017,27,Female,38,26.89961895682424,1048.828514999994,Month-to-month,Fiber optic,1
CUST-0018,43,Female,37,45.03902381457366,1603.7534694495625,One year,Fiber optic,1
CUST-0019,29,Male,11,98.53279799250336,1152.7009525614835,Month-to-month,No,1
CUST-0020,23,Female,3,42.90555527839329,167.56747062304433,One year,DSL,1
CUST-0021,57,Male,33,79.34917398004188,2638.604016615956,One year,Fiber optic,1
CUST-0022,37,Male,6,21.160657052282822,92.68342825960654,Two year,DSL,1
CUST-0023,40,Female,50,117.03286641912854,5867.833327336723,Month-to-month,Fiber optic,1
CUST-0024,22,Male,10,57.386159037818565,,Two year,Fiber optic,1
CUST-0025,33,Male,5,67.38302017369298,254.39054036657686,One year,Fiber optic,0
CUST-0026,41,Female,23,69.47591991372413,1595.4250154295805,Month-to-month,DSL,1
CUST-0027,26,Female,10,80.18917160828397,794.0551961717134,Month-to-month,DSL,1
CUST-0028,44,Female,44,27.020500425345574,1242.0220942089613,One year,Fiber optic,0
CUST-0029,32,Female,2,64.86658822908342,18.0118543424567,Month-to-month,Fiber optic,1
CUST-0030,36,Male,13,48.53077935546608,642.6601230637941,Month-to-month,Fiber optic,1
CUST-0031,32,Male,40,22.76106934804325,852.6643715164441,Month-to-month,DSL,1
CUST-0032,62,Male,2,89.67805500321775,195.31727711621284,Two year,No,0
CUST-0033,39,Female,65,56.19567541001024,3671.432904429531,One year,DSL,0
CUST-0034,27,Female,63,71.06301064031298,4472.627431483208,One year,No,0
CUST-0035,49,Female,17,69.49613546820147,1221.7989591999792,Month-to-month,DSL,1
CUST-0036,25,Female,9,56.62869319059717,447.3699357603896,Month-to-month,Fiber optic,1
CUST-0037,42,Male,15,114.37568384076954,1771.021280125628,One year,DSL,0
CUST-0038,18,Female,24,63.81838368427477,1496.2372651128874,Month-to-month,No,0
CUST-0039,24,Male,38,26.051192058083302,912.1503656826707,Month-to-month,Fiber optic,0
CUST-0040,42,Female,35,54.990465995417054,1911.0465113146063,One year,DSL,0
CUST-0041,48,Male,49,77.49344050280276,3692.420708503336,Two year,DSL,0
CUST-0042,42,Female,69,78.31487773426377,5416.4352582765105,One year,DSL,0
CUST-0043,38,Male,62,37.805476618455955,2330.977028215258,One year,DSL,0
CUST-0044,36,Male,60,88.23706268361924,5355.908107085956,Two year,No,0
CUST-0045,22,Male,50,20.928326778223997,,Month-to-month,Fiber optic,1
CUST-0046,31,Female,9,93.60338006541045,772.8306037292934,One year,Fiber optic,0
CUST-0047,34,Female,34,32.01630277156486,1046.6349196773108,Two year,Fiber optic,0
CUST-0048,52,Male,35,59.343869524783095,2103.0686543941188,Month-to-month,Fiber optic,1
CUST-0049,44,Male,1,91.6142169506675,133.96816744991924,One year,DSL,1
CUST-0050,18,Female,40,67.99014172217673,2780.7307146314133,One year,DSL,0
CUST-0051,43,Male,64,85.41746294283925,5527.443092606979,One year,Fiber optic,0
CUST-0052,35,Female,22,80.4665489927483,1765.7879473280673,One year,No,0
CUST-0053,31,Female,60,97.15671533511502,,Two year,DSL,1
CUST-0054,47,Male,64,91.5552462728428,5924.472686659129,One year,DSL,0
CUST-0055,52,Male,11,53.656392286588954,575.0548920556811,Month-to-month,Fiber optic,1
CUST-0056,51,,14,80.82354084483663,1150.515881174719,Two year,No,0
CUST-0057,29,Male,60,26.836203457556337,1593.8281684693977,Month-to-month,DSL,0
CUST-0058,36,Male,30,63.55237731655538,1879.02391377339,Month-to-month,Fiber optic,1
CUST-0059,43,Female,35,85.46211836596349,2993.5933987230123,Month-to-month,No,0
CUST-0060,51,Female,37,68.34619135615,2494.4319076105708,Month-to-month,DSL,1
CUST-0061,34,,5,76.16599328792715,374.2841678011483,Month-to-month,DSL,1
CUST-0062,37,Female,26,59.66819060085521,1499.625212395629,Two year,Fiber optic,1
CUST-0063,26,Male,62,93.22673593837857,5770.557908820352,One year,No,0
CUST-0064,25,Male,4,62.989605657275185,274.3779373098938,One year,DSL,1
CUST-0065,49,Female,42,53.363745439898665,2211.8391316654042,Month-to-month,Fiber optic,1
CUST-0066,56,Female,18,87.16293531422636,,Two year,Fiber optic,1
CUST-0067,39,Male,40,29.871001940888497,,Two year,Fiber optic,0
CUST-0068,52,Female,39,77.52583358793362,3046.134254520478,One year,Fiber optic,0
CUST-0069,44,Male,14,38.93787814432153,538.4513019552406,Month-to-month,Fiber optic,1
CUST-0070,32,Female,32,96.94817073095413,3156.6347804839224,Month-to-month,Fiber optic,1
CUST-0071,44,Male,51,58.474318668830115,2877.1443090377397,Month-to-month,Fiber optic,1
CUST-0072,58,Male,38,68.37461802049222,2745.1231271370934,Month-to-month,Fiber optic,1
CUST-0073,39,Male,23,75.31425991610305,1688.6712898684943,Month-to-month,Fiber optic,1
CUST-0074,58,Male,63,16.75788509214607,1075.916261972906,Two year,No,1
CUST-0075,18,Male,15,48.73537896107858,684.1072889058863,Month-to-month,DSL,1
CUST-0076,49,Female,25,91.08864773216384,2309.4296012795608,Month-to-month,No,1
CUST-0077,41,Female,17,86.69412560427222,1487.628592902374,Month-to-month,No,1
CUST-0078,36,Female,66,72.07580513488041,4724.467462034852,Month-to-month,DSL,0
CUST-0079,41,,53,31.263410714361918,1710.6151351316973,Month-to-month,Fiber optic,0
CUST-0080,18,Male,51,79.63758652146448,4053.3188686145927,Month-to-month,Fiber optic,1
CUST-0081,37,Male,39,82.83498975513615,3257.92539735316,Month-to-month,DSL,1
CUST-0082,44,Female,51,66.17543032809363,3329.088956472973,One year,DSL,0
CUST-0083,57,Male,70,95.57927376478642,6689.004781756471,Two year,DSL,0
CUST-0084,33,,6,47.914205246746924,387.6555948395868,Month-to-month,DSL,1
CUST-0085,30,Male,67,52.25356056250063,3549.1368341432485,Month-to-month,No,1
CUST-0086,33,,7,15.0,120.38103777255259,Two year,DSL,1
CUST-0087,50,Male,51,87.99568775369158,4465.334034057781,Month-to-month,No,0
CUST-0088,43,Female,42,72.84654908675336,3062.9299884373913,Month-to-month,Fiber optic,0
CUST-0089,33,Female,64,22.95449187166927,1478.9657792954524,Two year,No,0
CUST-0090,46,,15,21.035025000146312,337.9867967481819,Month-to-month,Fiber optic,1
CUST-0091,41,Male,29,43.18423431572474,1198.5097697471342,One year,DSL,0
CUST-0092,51,Female,33,84.84144854950884,2833.18820018091,One year,Fiber optic,1
CUST-0093,31,,27,57.490987797784285,1497.777015625443,Month-to-month,DSL,0
CUST-0094,36,Female,36,44.88032708349188,1697.248067619801,Month-to-month,Fiber optic,0
CUST-0095,35,Female,29,39.8471026729126,1116.9845613936216,One year,No,0
CUST-0096,22,Female,38,38.72720105429533,1486.465056047031,Month-to-month,DSL,0
CUST-0097,43,Male,57,16.658042472310996,999.7655495856276,Month-to-month,DSL,0
CUST-0098,43,Female,27,34.81510420884064,927.3888114654746,One year,Fiber optic,1
CUST-0099,40,Female,55,38.235548008070815,2119.9851413988877,One year,No,0
CUST-0100,37,Female,33,82.06558091142865,2779.923247536648,Month-to-month,Fiber optic,0
CUST-0101,23,Male,68,60.85692367133462,4166.490959045417,Two year,DSL,1
CUST-0102,34,Male,66,44.36037892456348,2945.5625405049072,Month-to-month,Fiber optic,1
CUST-0103,35,Female,10,120.0,1115.760730258977,Two year,DSL,1
CUST-0104,30,Female,5,48.402577161333355,195.3267731696556,One year,Fiber optic,0
CUST-0105,38,Male,38,94.1775728595909,3631.0937750469548,One year,No,0
CUST-0106,44,Female,13,105.52771394469289,1400.3577965480767,Month-to-month,Fiber optic,1
CUST-0107,62,Male,31,25.750991558566426,,Two year,No,0
